iter	MultiClass
0	2.340047029
1	2.289412341
2	2.235531972
3	2.195215547
4	2.150149359
5	2.112426785
6	2.082724153
7	2.056809128
8	2.027603088
9	1.994126626
10	1.972773085
11	1.946813186
12	1.925675155
13	1.909356878
14	1.885378893
15	1.864779542
16	1.840048976
17	1.821709662
18	1.809542935
19	1.78847661
20	1.766822986
21	1.7462379
22	1.727042962
23	1.707233923
24	1.686685475
25	1.667215499
26	1.649507463
27	1.633370739
28	1.617296649
29	1.600075698
30	1.587665174
31	1.570535691
32	1.552280349
33	1.537644788
34	1.521907298
35	1.507695399
36	1.493447771
37	1.479224497
38	1.461690963
39	1.451129304
40	1.435972038
41	1.42052691
42	1.403991986
43	1.388761584
44	1.375481138
45	1.364253364
46	1.351066591
47	1.337172512
48	1.325588156
49	1.312255839
50	1.300669335
51	1.286104995
52	1.272045237
53	1.261237691
54	1.248225019
55	1.236861182
56	1.225879337
57	1.213392447
58	1.200306493
59	1.189011806
60	1.178370064
61	1.165399989
62	1.154628615
63	1.141534967
64	1.131199098
65	1.122473544
66	1.111909811
67	1.101017795
68	1.091889781
69	1.083090935
70	1.071927692
71	1.063411503
72	1.053556224
73	1.042795803
74	1.032062966
75	1.020614462
76	1.010091428
77	1.003009584
78	0.9945907435
79	0.9876254276
80	0.9780322359
81	0.9677889895
82	0.9596086572
83	0.9502538699
84	0.9409914661
85	0.930650321
86	0.9219179475
87	0.9127256085
88	0.9034545937
89	0.8958513133
90	0.8881111796
91	0.8814392026
92	0.8736321655
93	0.865522194
94	0.8580597013
95	0.8502851452
96	0.8414100449
97	0.8324649224
98	0.8257660978
99	0.8173614202
