iter	Passed	Remaining
0	11	1110
1	22	1078
2	32	1050
3	42	1028
4	52	1006
5	63	999
6	74	988
7	84	973
8	94	960
9	105	949
10	116	939
11	126	928
12	136	915
13	147	906
14	157	894
15	168	884
16	179	874
17	189	863
18	199	851
19	210	842
20	221	832
21	231	822
22	242	810
23	252	799
24	263	790
25	274	780
26	284	769
27	295	759
28	305	747
29	315	735
30	325	725
31	336	714
32	346	704
33	356	692
34	367	681
35	377	670
36	387	660
37	398	649
38	408	639
39	419	629
40	430	619
41	440	608
42	450	597
43	461	587
44	472	577
45	482	566
46	493	556
47	503	545
48	514	535
49	524	524
50	535	514
51	546	504
52	556	493
53	567	483
54	578	473
55	588	462
56	599	452
57	609	441
58	620	431
59	630	420
60	641	409
61	651	399
62	662	389
63	672	378
64	682	367
65	693	357
66	703	346
67	714	336
68	725	325
69	735	315
70	746	304
71	756	294
72	767	283
73	777	273
74	787	262
75	798	252
76	809	241
77	819	231
78	830	220
79	841	210
80	851	199
81	862	189
82	872	178
83	883	168
84	893	157
85	904	147
86	914	136
87	925	126
88	935	115
89	945	105
90	955	94
91	966	84
92	976	73
93	987	63
94	998	52
95	1008	42
96	1019	31
97	1030	21
98	1041	10
99	1052	0
