id,prognosis
707,Rift_Valley_fever Dengue Yellow_Fever
708,Dengue Chikungunya Malaria
709,West_Nile_fever Japanese_encephalitis Yellow_Fever
710,Japanese_encephalitis Rift_Valley_fever West_Nile_fever
711,West_Nile_fever Yellow_Fever Plague
712,Zika Yellow_Fever West_Nile_fever
713,Malaria Yellow_Fever Plague
714,Chikungunya Rift_Valley_fever Plague
715,Yellow_Fever Malaria Plague
716,West_Nile_fever Yellow_Fever Lyme_disease
717,Tungiasis Yellow_Fever Rift_Valley_fever
718,Rift_Valley_fever Japanese_encephalitis Zika
719,Tungiasis West_Nile_fever Malaria
720,Chikungunya Yellow_Fever Malaria
721,Zika West_Nile_fever Yellow_Fever
722,Japanese_encephalitis West_Nile_fever Yellow_Fever
723,West_Nile_fever Plague Yellow_Fever
724,Tungiasis Rift_Valley_fever Dengue
725,Chikungunya Malaria Dengue
726,Lyme_disease Plague West_Nile_fever
727,West_Nile_fever Lyme_disease Malaria
728,Zika Malaria Yellow_Fever
729,Japanese_encephalitis Lyme_disease West_Nile_fever
730,Lyme_disease Malaria West_Nile_fever
731,Chikungunya Dengue Rift_Valley_fever
732,Chikungunya Dengue Tungiasis
733,West_Nile_fever Chikungunya Rift_Valley_fever
734,Yellow_Fever West_Nile_fever Japanese_encephalitis
735,Yellow_Fever West_Nile_fever Zika
736,Lyme_disease West_Nile_fever Malaria
737,Yellow_Fever West_Nile_fever Malaria
738,Tungiasis Dengue Rift_Valley_fever
739,Lyme_disease Yellow_Fever West_Nile_fever
740,Lyme_disease West_Nile_fever Zika
741,West_Nile_fever Lyme_disease Malaria
742,West_Nile_fever Lyme_disease Japanese_encephalitis
743,Rift_Valley_fever Zika West_Nile_fever
744,Zika Tungiasis Plague
745,Lyme_disease Japanese_encephalitis West_Nile_fever
746,West_Nile_fever Plague Lyme_disease
747,Malaria West_Nile_fever Plague
748,Chikungunya Malaria Yellow_Fever
749,Yellow_Fever Tungiasis Zika
750,Yellow_Fever Zika West_Nile_fever
751,Chikungunya Malaria Yellow_Fever
752,Rift_Valley_fever Japanese_encephalitis Malaria
753,Chikungunya Yellow_Fever Malaria
754,Lyme_disease West_Nile_fever Japanese_encephalitis
755,Yellow_Fever Malaria Zika
756,Tungiasis West_Nile_fever Rift_Valley_fever
757,Japanese_encephalitis Rift_Valley_fever West_Nile_fever
758,Dengue Rift_Valley_fever Tungiasis
759,Lyme_disease West_Nile_fever Malaria
760,Yellow_Fever Zika Malaria
761,Rift_Valley_fever Zika West_Nile_fever
762,Lyme_disease West_Nile_fever Malaria
763,Chikungunya West_Nile_fever Rift_Valley_fever
764,Chikungunya Malaria Yellow_Fever
765,Dengue Rift_Valley_fever West_Nile_fever
766,Tungiasis Dengue Rift_Valley_fever
767,West_Nile_fever Malaria Lyme_disease
768,Yellow_Fever West_Nile_fever Zika
769,Lyme_disease West_Nile_fever Japanese_encephalitis
770,Chikungunya Yellow_Fever Dengue
771,Tungiasis Rift_Valley_fever Dengue
772,Lyme_disease Plague Japanese_encephalitis
773,West_Nile_fever Yellow_Fever Plague
774,Rift_Valley_fever Lyme_disease Malaria
775,Rift_Valley_fever Dengue West_Nile_fever
776,Tungiasis Dengue Japanese_encephalitis
777,Tungiasis Dengue Japanese_encephalitis
778,West_Nile_fever Japanese_encephalitis Zika
779,Plague Malaria West_Nile_fever
780,Rift_Valley_fever Japanese_encephalitis West_Nile_fever
781,Zika Japanese_encephalitis Lyme_disease
782,Chikungunya Yellow_Fever Dengue
783,Zika West_Nile_fever Lyme_disease
784,Japanese_encephalitis Rift_Valley_fever Yellow_Fever
785,Yellow_Fever Zika Plague
786,Plague Malaria West_Nile_fever
787,West_Nile_fever Zika Japanese_encephalitis
788,Yellow_Fever Plague Zika
789,Yellow_Fever Rift_Valley_fever Malaria
790,West_Nile_fever Yellow_Fever Plague
791,Rift_Valley_fever Japanese_encephalitis Dengue
792,West_Nile_fever Lyme_disease Malaria
793,Plague Lyme_disease Malaria
794,Chikungunya Rift_Valley_fever Dengue
795,Tungiasis Dengue Japanese_encephalitis
796,Plague Lyme_disease Malaria
797,Rift_Valley_fever Lyme_disease Japanese_encephalitis
798,Chikungunya Malaria Dengue
799,Yellow_Fever Zika Tungiasis
800,Tungiasis Dengue Malaria
801,Rift_Valley_fever West_Nile_fever Japanese_encephalitis
802,Chikungunya Dengue West_Nile_fever
803,Plague West_Nile_fever Yellow_Fever
804,Japanese_encephalitis Rift_Valley_fever Lyme_disease
805,Yellow_Fever Japanese_encephalitis Zika
806,Yellow_Fever West_Nile_fever Zika
807,Lyme_disease Japanese_encephalitis Yellow_Fever
808,Japanese_encephalitis Rift_Valley_fever West_Nile_fever
809,Lyme_disease Plague Japanese_encephalitis
810,Japanese_encephalitis Lyme_disease Rift_Valley_fever
811,Tungiasis Dengue Rift_Valley_fever
812,Chikungunya Yellow_Fever Malaria
813,Japanese_encephalitis Rift_Valley_fever West_Nile_fever
814,Japanese_encephalitis West_Nile_fever Dengue
815,Zika Rift_Valley_fever Chikungunya
816,Chikungunya West_Nile_fever Malaria
817,Zika West_Nile_fever Yellow_Fever
818,Tungiasis Rift_Valley_fever Japanese_encephalitis
819,Yellow_Fever Japanese_encephalitis Malaria
820,Tungiasis Dengue Rift_Valley_fever
821,West_Nile_fever Japanese_encephalitis Lyme_disease
822,Rift_Valley_fever West_Nile_fever Dengue
823,West_Nile_fever Plague Japanese_encephalitis
824,Rift_Valley_fever Chikungunya Tungiasis
825,Dengue Tungiasis West_Nile_fever
826,West_Nile_fever Rift_Valley_fever Japanese_encephalitis
827,West_Nile_fever Rift_Valley_fever Lyme_disease
828,Chikungunya Yellow_Fever Malaria
829,Rift_Valley_fever Zika West_Nile_fever
830,Rift_Valley_fever West_Nile_fever Japanese_encephalitis
831,Rift_Valley_fever Japanese_encephalitis West_Nile_fever
832,Zika Rift_Valley_fever Japanese_encephalitis
833,Tungiasis Dengue West_Nile_fever
834,Japanese_encephalitis West_Nile_fever Rift_Valley_fever
835,Chikungunya Japanese_encephalitis Yellow_Fever
836,Tungiasis Japanese_encephalitis Rift_Valley_fever
837,Lyme_disease Plague West_Nile_fever
838,Chikungunya West_Nile_fever Dengue
839,West_Nile_fever Dengue Yellow_Fever
840,Lyme_disease West_Nile_fever Malaria
841,Rift_Valley_fever Yellow_Fever Tungiasis
842,Lyme_disease West_Nile_fever Plague
843,West_Nile_fever Rift_Valley_fever Dengue
844,Tungiasis Rift_Valley_fever Dengue
845,Tungiasis Rift_Valley_fever Dengue
846,Chikungunya Yellow_Fever Malaria
847,West_Nile_fever Plague Malaria
848,Japanese_encephalitis West_Nile_fever Yellow_Fever
849,Yellow_Fever Malaria Japanese_encephalitis
850,Rift_Valley_fever West_Nile_fever Japanese_encephalitis
851,Yellow_Fever Malaria West_Nile_fever
852,Chikungunya Rift_Valley_fever Yellow_Fever
853,Dengue West_Nile_fever Rift_Valley_fever
854,Plague Malaria Lyme_disease
855,West_Nile_fever Japanese_encephalitis Zika
856,Malaria Zika West_Nile_fever
857,Chikungunya Yellow_Fever Plague
858,Tungiasis Dengue Rift_Valley_fever
859,Zika Lyme_disease Rift_Valley_fever
860,West_Nile_fever Lyme_disease Malaria
861,Chikungunya Yellow_Fever Japanese_encephalitis
862,Lyme_disease West_Nile_fever Malaria
863,Rift_Valley_fever Dengue Yellow_Fever
864,Chikungunya Yellow_Fever Malaria
865,West_Nile_fever Rift_Valley_fever Malaria
866,Chikungunya Dengue Yellow_Fever
867,West_Nile_fever Plague Japanese_encephalitis
868,Chikungunya Dengue Yellow_Fever
869,Tungiasis Zika Yellow_Fever
870,Chikungunya West_Nile_fever Japanese_encephalitis
871,Chikungunya Yellow_Fever Malaria
872,Japanese_encephalitis West_Nile_fever Malaria
873,Malaria Yellow_Fever Rift_Valley_fever
874,Chikungunya Yellow_Fever Dengue
875,West_Nile_fever Rift_Valley_fever Japanese_encephalitis
876,Zika Yellow_Fever West_Nile_fever
877,Yellow_Fever Rift_Valley_fever Plague
878,Zika West_Nile_fever Yellow_Fever
879,Yellow_Fever Zika Tungiasis
880,West_Nile_fever Japanese_encephalitis Zika
881,Tungiasis Dengue Rift_Valley_fever
882,West_Nile_fever Lyme_disease Japanese_encephalitis
883,Chikungunya Yellow_Fever Dengue
884,Lyme_disease Malaria West_Nile_fever
885,West_Nile_fever Rift_Valley_fever Japanese_encephalitis
886,Tungiasis Dengue Rift_Valley_fever
887,Chikungunya Yellow_Fever Dengue
888,Japanese_encephalitis Malaria West_Nile_fever
889,Chikungunya Yellow_Fever Dengue
890,Malaria Dengue Rift_Valley_fever
891,Japanese_encephalitis West_Nile_fever Rift_Valley_fever
892,Lyme_disease West_Nile_fever Malaria
893,Malaria Yellow_Fever Rift_Valley_fever
894,Chikungunya Yellow_Fever Malaria
895,Chikungunya Yellow_Fever Malaria
896,West_Nile_fever Plague Zika
897,Plague Malaria Lyme_disease
898,Tungiasis Rift_Valley_fever Dengue
899,Japanese_encephalitis Zika West_Nile_fever
900,Yellow_Fever Rift_Valley_fever Zika
901,Plague West_Nile_fever Malaria
902,Zika Yellow_Fever Tungiasis
903,Yellow_Fever Zika Malaria
904,Lyme_disease Malaria West_Nile_fever
905,Yellow_Fever West_Nile_fever Plague
906,Lyme_disease Malaria Plague
907,Japanese_encephalitis Rift_Valley_fever West_Nile_fever
908,Dengue Tungiasis Japanese_encephalitis
909,Chikungunya Yellow_Fever Malaria
910,Yellow_Fever Malaria Lyme_disease
911,West_Nile_fever Lyme_disease Rift_Valley_fever
912,Rift_Valley_fever West_Nile_fever Dengue
913,West_Nile_fever Japanese_encephalitis Plague
914,Yellow_Fever Zika Malaria
915,Lyme_disease West_Nile_fever Japanese_encephalitis
916,Tungiasis Rift_Valley_fever Yellow_Fever
917,Zika Plague Rift_Valley_fever
918,Dengue Rift_Valley_fever West_Nile_fever
919,West_Nile_fever Rift_Valley_fever Malaria
920,Lyme_disease West_Nile_fever Japanese_encephalitis
921,Chikungunya Japanese_encephalitis Malaria
